fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,bound_sulfur_dioxide,quality_class
7,0.27,0.36,20.7,0.045,45,1.001,3,0.45,8.8,125,1
6.3,0.3,0.34,1.6,0.049,14,0.994,3.3,0.49,9.5,118,1
8.1,0.28,0.4,6.9,0.05,30,0.9951,3.26,0.44,10.1,67,1
7.2,0.23,0.32,8.5,0.058,47,0.9956,3.19,0.4,9.9,139,1
7.2,0.23,0.32,8.5,0.058,47,0.9956,3.19,0.4,9.9,139,1
8.1,0.28,0.4,6.9,0.05,30,0.9951,3.26,0.44,10.1,67,1
6.2,0.32,0.16,7,0.045,30,0.9949,3.18,0.47,9.6,106,1
7,0.27,0.36,20.7,0.045,45,1.001,3,0.45,8.8,125,1
6.3,0.3,0.34,1.6,0.049,14,0.994,3.3,0.49,9.5,118,1
8.1,0.22,0.43,1.5,0.044,28,0.9938,3.22,0.45,11,101,1
8.1,0.27,0.41,1.45,0.033,11,0.9908,2.99,0.56,12,52,0
8.6,0.23,0.4,4.2,0.035,17,0.9947,3.14,0.53,9.7,92,0
7.9,0.18,0.37,1.2,0.04,16,0.992,3.18,0.63,10.8,59,0
6.6,0.16,0.4,1.5,0.044,48,0.9912,3.54,0.52,12.4,95,2
6.6,0.17,0.38,1.5,0.032,28,0.9914,3.25,0.55,11.4,84,2
7.4,0.34,0.42,1.1,0.033,17,0.9917,3.12,0.53,11.3,154,1
6.5,0.31,0.14,7.5,0.044,34,0.9955,3.22,0.5,9.5,99,0
6.4,0.31,0.38,2.9,0.038,19,0.9912,3.17,0.35,11,83,2
6.8,0.26,0.42,1.7,0.049,41,0.993,3.47,0.48,10.5,81,2
6.6,0.27,0.41,1.3,0.052,16,0.9951,3.42,0.47,10,126,1
7,0.25,0.32,9,0.046,56,0.9955,3.25,0.5,10.4,189,1
6.9,0.24,0.35,1,0.052,35,0.993,3.45,0.44,10,111,1
7,0.28,0.39,8.7,0.051,32,0.9961,3.38,0.53,10.5,109,1
7.4,0.27,0.48,1.1,0.047,17,0.9914,3.19,0.49,11.6,115,1
7.2,0.32,0.36,2,0.033,37,0.9906,3.1,0.71,12.3,77,2
8.5,0.24,0.39,10.4,0.044,20,0.9974,3.2,0.53,10,122,1
8.3,0.14,0.34,1.1,0.042,7,0.9934,3.47,0.4,10.2,40,1
7.4,0.25,0.36,2.05,0.05,31,0.992,3.19,0.44,10.8,69,1
6.2,0.12,0.34,1.5,0.045,43,0.9939,3.42,0.51,9,74,1
5.8,0.27,0.2,14.95,0.044,22,0.9962,3.37,0.37,10.2,157,0
6.5,0.39,0.23,5.4,0.051,25,0.9934,3.24,0.35,10,124,0
7,0.33,0.32,1.2,0.053,38,0.9906,3.13,0.28,11.2,100,1
7.3,0.24,0.39,17.95,0.057,45,0.9999,3.21,0.36,8.6,104,0
7.3,0.24,0.39,17.95,0.057,45,0.9999,3.21,0.36,8.6,104,0
7,0.31,0.26,7.4,0.069,28,0.9954,3.13,0.46,9.8,132,1
6.6,0.24,0.27,1.4,0.057,33,0.9934,3.22,0.56,9.5,119,1
6.7,0.23,0.26,1.4,0.06,33,0.9934,3.24,0.56,9.5,121,1
7.4,0.18,0.31,1.4,0.058,38,0.9931,3.16,0.53,10,129,2
6.2,0.45,0.26,4.4,0.063,63,0.994,3.27,0.52,9.8,143,0
6.2,0.46,0.25,4.4,0.066,62,0.9939,3.25,0.52,9.8,145,0
7,0.31,0.26,7.4,0.069,28,0.9954,3.13,0.46,9.8,132,1
6.9,0.19,0.35,5,0.067,32,0.995,3.36,0.48,9.8,118,0
7.2,0.19,0.31,1.6,0.062,31,0.9917,3.35,0.44,11.7,142,1
6.6,0.25,0.29,1.1,0.068,39,0.9914,3.34,0.58,11,85,2
6.2,0.16,0.33,1.1,0.057,21,0.991,3.32,0.46,10.9,61,2
6.4,0.18,0.35,1,0.045,39,0.9911,3.31,0.35,10.9,69,1
6.9,0.25,0.35,1.3,0.039,29,0.9908,3.13,0.52,11,162,1
7.2,0.21,0.34,11.9,0.043,37,0.9962,3.09,0.5,9.6,176,1
6,0.19,0.26,12.4,0.048,50,0.9972,3.3,0.36,8.9,97,1
6.6,0.38,0.15,4.6,0.044,25,0.9931,3.11,0.38,10.2,53,1
7.4,0.2,0.36,1.2,0.038,44,0.9926,3.36,0.34,9.9,67,1
6,0.19,0.26,12.4,0.048,50,0.9972,3.3,0.36,8.9,97,1
6.6,0.38,0.15,4.6,0.044,25,0.9931,3.11,0.38,10.2,53,1
7.2,0.24,0.27,1.4,0.038,31,0.9927,3.15,0.46,10.3,91,1
6.4,0.26,0.24,6.4,0.04,27,0.9903,3.22,0.49,12.6,97,2
6.7,0.23,0.31,2.1,0.046,30,0.9926,3.33,0.64,10.7,66,2
7.4,0.24,0.29,10.1,0.05,21,0.9962,3.13,0.35,9.5,84,0
6.8,0.3,0.23,4.6,0.061,50.5,0.9958,3.32,0.6,9.5,188,0
8.6,0.23,0.46,1,0.054,9,0.9941,2.95,0.49,9.1,63,1
6.7,0.23,0.31,2.1,0.046,30,0.9926,3.33,0.64,10.7,66,2
7.4,0.24,0.29,10.1,0.05,21,0.9962,3.13,0.35,9.5,84,0
7.1,0.18,0.36,1.4,0.043,31,0.9898,3.26,0.37,12.7,56,2
7,0.32,0.34,1.3,0.042,20,0.9912,3.31,0.65,12,49,2
7.4,0.18,0.3,8.8,0.064,26,0.9961,2.94,0.56,9.3,77,0
7.1,0.2,0.34,16,0.05,51,0.9985,3.21,0.6,9.2,115,1
7.1,0.34,0.2,6.1,0.063,47,0.9946,3.17,0.42,10,117,0
7.3,0.22,0.3,8.2,0.047,42,0.9966,3.33,0.46,9.5,165,1
6.8,0.25,0.31,13.3,0.05,69,0.9972,3.22,0.48,9.7,133,1
6.1,0.27,0.43,7.5,0.049,65,0.9957,3.12,0.47,9,178,0
6.9,0.24,0.33,1.7,0.035,47,0.99,3.26,0.4,12.6,89,2
6.9,0.21,0.33,1.8,0.034,48,0.9899,3.25,0.41,12.6,88,2
7.5,0.17,0.32,1.7,0.04,51,0.9916,3.21,0.44,11.5,97,2
7.1,0.26,0.29,12.4,0.044,62,0.9969,3.04,0.42,9.2,178,1
8.6,0.265,0.36,1.2,0.034,15,0.9913,2.95,0.36,11.4,65,2
7.4,0.25,0.37,13.5,0.06,52,0.9975,3,0.44,9.1,140,0
7.1,0.12,0.32,9.6,0.054,64,0.9962,3.4,0.41,9.4,98,0
6,0.21,0.24,12.1,0.05,55,0.997,3.34,0.39,9.4,109,0
7.5,0.305,0.4,18.9,0.059,44,1,2.99,0.46,9,126,0
7.4,0.25,0.37,13.5,0.06,52,0.9975,3,0.44,9.1,140,0
7.3,0.13,0.32,14.4,0.051,34,0.9974,3.2,0.35,9.2,75,1
7.1,0.12,0.32,9.6,0.054,64,0.9962,3.4,0.41,9.4,98,0
7.1,0.23,0.35,16.5,0.04,60,0.999,3.16,0.59,9.1,111,1
7.1,0.23,0.35,16.5,0.04,60,0.999,3.16,0.59,9.1,111,1
6.9,0.33,0.28,1.3,0.051,37,0.9927,3.27,0.6,10.3,150,0
7.2,0.31,0.5,13.3,0.056,68,0.9982,3.01,0.47,9.2,127,0
6.7,0.41,0.34,9.2,0.049,29,0.9968,3.22,0.51,9.1,121,0
6.7,0.41,0.34,9.2,0.049,29,0.9968,3.22,0.51,9.1,121,0
6,0.31,0.24,3.3,0.041,25,0.9914,3.31,0.44,11.3,118,1
7,0.14,0.4,1.7,0.035,16,0.9911,3.19,0.42,11.8,69,1
7.2,0.31,0.5,13.3,0.056,68,0.9982,3.01,0.47,9.2,127,0
7.3,0.32,0.48,13.3,0.06,57,0.9982,3.04,0.5,9.2,139,0
7.8,0.24,0.32,12.2,0.054,42,0.9984,3.01,0.54,8.8,96,0
7.4,0.16,0.31,6.85,0.059,31,0.9952,3.29,0.34,9.7,100,0
6.9,0.19,0.28,5,0.058,14,0.9952,3.29,0.36,9.1,132,1
6.7,0.19,0.36,1.1,0.026,63,0.9912,3.27,0.48,11,80,1
7.4,0.39,0.23,7,0.033,29,0.994,3.14,0.42,10.5,97,0
6.5,0.24,0.32,7.6,0.038,48,0.9958,3.45,0.54,9.7,155,2
6.1,0.3,0.56,2.8,0.044,47,0.9924,3.3,0.57,10.9,132,2
6.1,0.3,0.56,2.7,0.046,46,0.9924,3.31,0.57,10.9,138,1
5.7,0.26,0.25,10.4,0.02,7,0.994,3.39,0.37,10.6,50,0
6.5,0.24,0.32,7.6,0.038,48,0.9958,3.45,0.54,9.7,155,2
6.5,0.425,0.4,13.1,0.038,59,0.9979,3.23,0.57,9,182,0
6.6,0.24,0.27,15.8,0.035,46,0.9982,3.24,0.51,9.2,142,0
6.8,0.27,0.22,8.1,0.034,55,0.9961,3.19,0.52,8.9,148,0
6.7,0.27,0.31,15.7,0.036,44,0.9979,3.26,0.56,9.6,135,0
8.2,0.23,0.4,1.2,0.027,36,0.992,3.12,0.38,10.7,85,1
6.8,0.19,0.36,1.9,0.035,30,0.9917,3.15,0.54,10.8,66,2
8.1,0.28,0.39,1.9,0.029,18,0.9923,3.23,0.52,11.8,61,1
6.3,0.31,0.34,2.2,0.045,20,0.9927,3.3,0.43,10.2,57,0
7.9,0.21,0.4,1.2,0.039,38,0.992,3.21,0.54,10.8,69,1
8.5,0.21,0.41,4.3,0.036,24,0.9947,3.18,0.53,9.7,75,1
8.1,0.2,0.4,2,0.037,19,0.9921,3.12,0.54,11.2,68,1
6.3,0.255,0.37,1.1,0.04,37,0.9905,3,0.39,10.9,77,1
5.6,0.16,0.27,1.4,0.044,53,0.9918,3.28,0.37,10.1,115,1
6.3,0.34,0.33,4.6,0.034,19,0.9917,3.38,0.58,12,61,2
6.9,0.25,0.3,4.1,0.054,23,0.994,2.99,0.38,9.4,93,1
7.9,0.22,0.38,8,0.043,46,0.9934,3.12,0.32,11.5,106,2
7.6,0.18,0.46,10.2,0.055,58,0.9968,3.14,0.43,9.9,77,1
6.9,0.25,0.3,4.1,0.054,23,0.994,2.99,0.38,9.4,93,1
7.2,0.18,0.41,1.2,0.048,41,0.9919,3.14,0.45,10.4,56,0
7.4,0.24,0.42,14,0.066,48,0.9979,2.89,0.42,8.9,150,1
7.4,0.24,0.42,14,0.066,48,0.9979,2.89,0.42,8.9,150,1
6.1,0.32,0.24,1.5,0.036,38,0.9898,3.29,0.42,12.4,86,2
6.1,0.32,0.24,1.5,0.036,38,0.9898,3.29,0.42,12.4,86,2
6.4,0.22,0.56,14.5,0.055,27,0.998,2.98,0.4,9.1,132,0
6.3,0.36,0.3,4.8,0.049,14,0.9932,3.28,0.39,10.6,71,0
7.4,0.24,0.42,14,0.066,48,0.9979,2.89,0.42,8.9,150,1
6.7,0.24,0.35,13.1,0.05,64,0.997,3.15,0.5,9.5,141,0
7,0.23,0.36,13,0.051,72,0.9972,3.16,0.49,9.8,105,0
8.4,0.27,0.46,8.7,0.048,39,0.9974,3.14,0.59,9.6,158,1
6.7,0.46,0.18,2.4,0.034,25,0.9896,3.08,0.44,12.6,73,2
7.5,0.29,0.31,8.95,0.055,20,0.9968,3.08,0.54,9.3,131,0
7.1,0.3,0.46,1.5,0.066,29,0.9906,3.12,0.54,12.7,104,1
7.9,0.19,0.45,1.5,0.045,17,0.9917,3.13,0.39,11,79,1
7.6,0.48,0.37,0.8,0.037,4,0.9902,3.03,0.39,11.4,96,0
6.3,0.22,0.43,4.55,0.038,31,0.9918,3.35,0.33,11.5,99,2
7.5,0.27,0.31,17.7,0.051,33,0.999,3.09,0.64,10.2,140,0
6.9,0.23,0.4,7.5,0.04,50,0.9927,3.11,0.27,11.4,101,1
7.2,0.32,0.47,5.1,0.044,19,0.991,3.03,0.41,12.6,46,0
5.9,0.23,0.3,12.9,0.054,57,0.9972,3.28,0.39,9.4,113,0
6.4,0.25,0.32,5.5,0.049,41,0.995,3.19,0.68,9.2,135,1
6.4,0.33,0.31,5.5,0.048,42,0.9951,3.19,0.66,9.3,131,1
7.1,0.34,0.15,1.2,0.053,61,0.9936,3.09,0.43,9.2,122,0
6.8,0.28,0.4,22,0.048,48,1.001,2.93,0.5,8.7,119,0
6.9,0.27,0.4,14,0.05,64,0.9979,3.18,0.58,9.6,163,1
6.8,0.26,0.56,11.9,0.043,64,0.997,3.02,0.63,9.3,162,0
6.8,0.29,0.56,11.9,0.043,66,0.9972,3.02,0.63,9.3,164,0
6.7,0.24,0.41,9.4,0.04,49,0.9954,3.12,0.61,9.9,117,1
5.9,0.3,0.23,4.2,0.038,42,0.9924,3.15,0.5,11,77,0
6.5,0.28,0.28,8.5,0.047,54,0.9962,3.09,0.54,8.9,156,0
